"1. Company name (For example, UPMC, Penn State Health, CVS, Sadler Health Center, etc.)","2. Name of vaccine providing entity (For example, UPMC Williamsport, Penn State Health Holy Spirit Medical Center, CVS Pharmacy Camp Hill, Sadler Health Center, etc.)",4. Provider Address,5. Point of contact for vaccine providing entity,6. Phone number for point of contact,POCemail,8. Type of Facility,"9. Link to public facing information, if applicable, on how to schedule an appointment to get vaccinated",Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,What identification requirements does your facility have for vaccine recipients?,Notes,VaccineYesNoExp,x,y
Excela Health,Excela Health Frick Hospital ,"508 S Church St, Mt Pleasant, PA 15666",Amy Opsitnick,724-832-4244,aopsitnick@excelahealth.org,Health System,Email Amy Opsitnick in the Office of Medical Affairs to schedule,8:00 AM,4:00 PM,,,,,,,,,,,8:00 AM,4:00 PM,unknown,,No Vaccine Yet,-79.5481475,40.14607833
Penn Medicine,Chester County Hospital,"701 E. Marshall St. West Chester, PA 19380",James Curtis,6104315000,CCHCovidVaccine@pennmedicine.upenn.edu,Hospital,https://www.chestercountyhospital.org/about/chester-county-hospital-covid-19/chester-county-hospital-vaccination-distribution-information,,,,,,,,,,,,,,,,,Yes,-75.60034122,39.97299627
Hillcrest Pharmacy and Compounding,Hillcrest Pharmacy and Compounding,3985 Columbia Ave Unit 2 Columbia PA 17512,"Melissa Koehler, Pharm D",7172831184,hillcrestlancaster@gmail.com,Pharmacy,https://www.HillcrestLancaster.com,,,10:00 PM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,3:00 PM,Drivers license,"Please call for details. Please visit our website. As soon as vaccine is available, an appointment guide will be posted. ",No Vaccine Yet,-76.45405477,40.03785334
Squirrel Hill Health Center,Squirrel Hill Health Center,"4516 Browns Hill Road, Pittsburgh PA 15217",Elisa Lucke,412-697-7933,info@squirrelhillhealthcenter.org,Federally Qualified Health Center (FQHC),https://squirrelhillhealthcenter.org/covid-19-vaccines/,,,9:00 AM,12:00 PM,9:00 AM,12:00 PM,9:00 AM,12:00 PM,9:00 AM,12:00 PM,9:00 PM,12:00 PM,,,Drivers License,Schedule is variable and we move between locations.  We will work with organizations to schedule appointments.,No Vaccine Yet,-79.92546498,40.416936
VILLAGE PHARMACY AT SPRINGHOUSE,VILLAGE PHARMAC Y AT SPRINGHOUSE,"1121 N. BETHLEHEM PIKE  STE. 40 SPRING HOUSE, PA 19477",JOHN MCVAN,215-646-1691,jmcvan@hotmail.com,Pharmacy,CALL 215-646-1691,,,10:00 AM,4:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,4:00 PM,10:00 AM,7:00 PM,10:00 AM,4:00 PM,NONE,THERE IS 1 SATURDAY A MONTH THAT WILL WILL NOT BE ABLE TO VACCINATE,No Vaccine Yet,-75.22669604,40.19034701
Squirrel Hill Health Center,Squirrel Hill Health Center - Brentwood,"103 Towne Square Way, Brentwood PA 15227",Elisa Lucke,412-697-7933,info@squirrelhillhealthcenter.org,Federally Qualified Health Center (FQHC),https://squirrelhillhealthcenter.org/covid-19-vaccines/,,,9:00 AM,12:00 PM,9:00 AM,12:00 PM,9:00 AM,12:00 PM,9:00 AM,12:00 PM,9:00 AM,12:00 PM,,,Drivers License - not manditory,Schedule is variable and we move between locations.  We will work with organizations to schedule appointments.,No Vaccine Yet,-79.98244599,40.36726602
Eric's RX LLC,Eric's RX Shoppe,"810 Welsh Rd, Horsham, PA 19044",Marc Ost,215-509-5597,marc@ericsrx.com ,Pharmacy,https://www.ericsrx.com,,,,,,,,,,,,,,,Photo ID + Insurance Card,Please email marc@ericsrx.com - a form will be sent out to complete and scheduling link will follow. ,Yes,-75.17887602,40.17871402
Crestwood Pharmacy ,Crestwood Pharmacy,"10 S Mountain Blvd, Mountain Top, PA, 18707",Jessica Orloski ,,Crestwoodpharmacypa@gmail.com,Pharmacy,https://www.crestwoodpharmacypa.com,1:00 AM,,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,9:00 AM,6:00 PM,"ID Badge, proof of employment letter or phone call to facility ",,Yes,-75.885903,41.161359
Curahealth Hospital Pittsburgh,Curahealth Hospital Pittsburgh,"7777 Steubenville Pike, Oakdale, PA 15071",Vince Lutz,412-494-5500 ext 4124,vincent.lutz@curahealth.com,Hospital,n/a,,,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,,proof of employment as an essential healthcare provider,"received vaccine 1/4/21, beginning immunization 1/5/21",Yes,-80.20868898,40.43861701
Care Options Rx,Care Options Rx,"219 N BALTIMORE AVE, Mt Holly Springs, PA, 17065",Andrea Smyser,7173238230,VACCINE@CAREOPTIONSRX.COM,Pharmacy,,,,9:00 AM,7:00 PM,9:00 AM,5:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,CONSENT FORMS AND INSURANCE INFORMATION,MUST CALL AND MAKE APPOINTMENT,Yes,-77.19001604,40.117519
Thompson Pharmacy,Thompson Pharmacy,600 E Chestnut Ave,Brent Ronan Rph,8149446139,info@thompsonpharmacy.com,Pharmacy,,,,,,,,,,,,,,,,,,No Vaccine Yet,-78.38735467,40.5312788
Physicians Care Surgical Hospital,Physicians Care Surgical Hospital,"454 Enterprise Drive Royersford, PA 19468",Raquel Stump,610-495-3225,rstump@phycarehospital.com,Hospital,,,,6:00 AM,5:00 PM,6:00 AM,5:00 PM,6:00 AM,5:00 PM,6:00 AM,5:00 PM,6:00 AM,5:00 PM,6:00 AM,5:00 PM,Government Issued Identification,,No Vaccine Yet,-75.55326203,40.21616398
Curahealth Heritage Valley Beaver,Curahealth Heritage Valley Beaver,"1000 Dutch Ridge Rd., Beaver, PA 15009",Kelly Arbogast,7247738486,kelly.arbogast@curahealth.com,Hospital,,,,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,,We are still waiting to receive our initial shipment of vaccine.,No Vaccine Yet,-80.32134998,40.71263999
Pharm-Assist Inc,Community Pharmacy,1256 Pennsylvania Ave Tyrone PA 16686,William Faust,814-684-0230,rx@cpccrx.com,Pharmacy,,12:00 PM,3:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,,,Photo ID if not already an established patient at our pharmacy,,No Vaccine Yet,-78.23662531,40.67341051
Dougie Fresh INC,Haeun Pharmacy,"7320 Old York RD STE 210-211, Melrose Park, PA 19027",215-635-6532,2156356532,haeunpharmacy6532@gmail.com,Pharmacy,,,,9:00 PM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,,,,,9:00 AM,7:00 PM,,,No Vaccine Yet,-75.13045,40.07452
Heshey Pharmacy & Gift,Hershey Pharmacy & Gift,"731 Cherry Drive  Hershey, PA  17033",Chuck Kray or Mark Green,717-534-1300,covid@ckcrx.com,Pharmacy,hersheypharmacy.com,,,,,,,,,,,,,,,drivers license or other id,We are operating appointment based clinics and daily vaccinations only. Please visit the &quot;Covid Updates&quot; page at www.hersheypharmacy.com for info on vaccine eligibility and how to sign-up.,Yes,-76.65770774,40.26999691
Endless Mountains Health System,Endless Mountains Health System,"100 Hospital Drive Montrose, Pa 18801",Valerie Brewer,5702783801,vbrewer@endlesscare.org,Hospital,https://www.endlesscare.org,,,,,,,,,,,,,,,Must bring ID Badge OR Letter from their provider OR Active Pa Professional License,,Yes,-75.83743081,41.83716541
AHN ,AHN Grove City Hospital,631 N Broad Street Ext Grove City PA 16127,Sarah Kauffman,724-450-7440,rxmanager@gcmcpa.org,Hospital,to be ,,,3:00 PM,6:00 PM,3:00 PM,6:00 PM,3:00 PM,6:00 PM,,,,,,,Company ID,,Yes,-80.08538489,41.17099585
Pharm-Assist Inc,Boalsburg Apothecary,"3901 South Atherton St Ste 1 State College, PA 16801",William Faust,8144667936,pharmacy@boalsburgapothecary.com,Pharmacy,,10:00 AM,3:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,4:00 PM,Photo ID if not an established patient at our pharmacy,,No Vaccine Yet,-77.80155157,40.7821339
Moshannon Valley Pharmacy Inc,Moshannon Valley Pharmacy,"208 Medical Center Drive Philipsburg, PA 16866",William Faust,814-342-3750,mvppb@movalleypharmacy.com,Pharmacy,,12:00 PM,3:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,Photo ID if not an established patient at our pharmacy,,No Vaccine Yet,-78.20519744,40.90671053
Livingston Pharmacy,Livingston Pharmacy,"550 Miller Ave; Clairton, PA 15025",Matthew Livingston,4122337100,livpharm.vaccine@gmail.com,Pharmacy,,,,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,2:00 PM,"Photo identification, as well as insurance card, if applicable","Hours listed are for the retail pharmacy, immunizations will be given by appointment only. Please email the pharmacy for availability or to schedule a timeslot.",No Vaccine Yet,-79.88287996,40.29349002
"Lavella Pharmacies, Llc -- d/b/a Hilltop Pharmacy",Hilltop Pharmacy,"818 E Warrington Avenue, Pittsburgh, PA  15210",Patrick Lavella,4124315766,nicole.hilltoppharm@gmail.com,Pharmacy,still in creation - we currently use an on-line created consent form that we distribute to our clinics ahead of time that they can fill out and answer which allows us to review in real time at the administration site,,,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,1:00 PM,"A form of photo ID along with an insurance card, if applicable","Hours listed above are the pharmacy hours.  We plan, and have been doing, clinics at various locations and times in order to remove as much foot traffic and congestion from within the pharmacy itself.  We can and will travel. All days are available.",Yes,-79.99292497,40.421616
Geisinger Encompass Health LLC,Geisinger Encompass Health Rehabilitation Hospital,"64 Rehab Lane, Danville PA 17821",Deneen Porzi,5702716733,deneen.porzi@encompasshealth.com,Hospital,,,,9:00 AM,1:00 PM,9:00 AM,1:00 PM,9:00 AM,1:00 PM,9:00 AM,1:00 PM,9:00 AM,1:00 PM,,,"Employee Badge, proof of employment and job title",,Yes,-76.59936,40.97136001
