Facility_Name,Address,Suite_Number,Address_2,City,ZIP_Code,County,Phone_Number,Website,Clinic_ID,Longitude,Latitude,x,y
AHN-Allegheny General Hospital,320 East North Avenue,Pharmacy,,Pittsburgh,15212,Allegheny,1-412-624-2100,https://www.ahn.org/coronavirus.html,15274,-80.003274,40.456215,-8905923.723474743,4932461.369082788
AHN-Allegheny Valley Hospital,1301 Carlisle Street,,,Natrona Heights,15065,Allegheny,1-412-362-8677,https://www.ahn.org/coronavirus.html,17718,-79.737377,40.617348,-8876324.204831284,4956063.369446319
AHN-Saint Vincent Hospital,PHARMACY DEPARTMENT,,232 WEST 25TH STREET,Erie,16544,Erie,,https://www.ahn.org/coronavirus.html,11833,-80.080053,42.11074,-8914470.72265836,5177582.220270508
AHN-WEST PENN HOSPITAL,PHARMACY DEPARTMENT,,4800 FRIENDSHIP AVENUE,PITTSBURGH,15224,Allegheny,412-687-7348,https://www.ahn.org/coronavirus.html,15308,-79.946843,40.462383,-8899641.853289787,4933363.785026581
AHOLD USA-GIANT PHARMACY-6504,300 Lincoln Avenue,,,East Stroudsburg,18301,Monroe,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine,19312,-75.183397,40.992085,-8369377.470148532,5011174.27324275
Adzema Pharmacy,8105 Perry Highway,,,Pittsburgh,15237,Allegheny,412-364-7000,https://www.adzemapharmacy.com/,1027,-80.039499,40.557458,-8909956.272028731,4947284.334789073
Alberts Pharmacy,201 S. Main Street,,,Pittston,18640,Luzerne,717-323-8230,,869,-75.793926,41.318492,-8437341.247543057,5059433.272281796
Allegheny County Health Dept-Immunization Cl,425 1st Avenue,4th Floor,,Pittsburgh,15219,Allegheny,412-578-8062,https://www.alleghenycounty.us/Health-Department/Health-Services/Infectious-Disease-Immunization-Program/Immunization-Clinic.aspx,69,-79.999576,40.436938,-8905512.063997788,4929641.560550293
Allentown Health Bureau,Alliance Hall,,245 North 6th Street,Allentown,18102,Lehigh,,https://allentownpaclinics.schedulemeappointments.com/,79,-75.471465,40.606562,-8401445.053222368,4954481.7123829825
Allied Services Rehab Hospital,475 Morgan Highway,,,Scranton,18508,Lackawanna,570-348-1411,https://www.allied-services.org/coronavirus-information/covid-19-vaccine/,41332,-75.674299,41.449354,-8424024.430817932,5078848.926370039
Armstrong County Memorial Hospital,One Nolte Dr,,,Kittanning,16201,Armstrong,724-525-9021,https://www.acmh.org/covid-19%20vaccine,13263,-79.479054,40.814808,-8847567.820011094,4985064.141806246
Armstrong Primary Care Center-Leechburg,116 Main Street,,,Leechburg,15656,Armstrong,724-845-1211,https://www.acmh.org/covid-19-vaccine,200,-79.606823,40.627875,-8861791.000030259,4957607.293049895
Armstrong Primary Care Center-S Bethlehem,102 South Street,,,New Bethlehem,16242,Clarion,814-275-2264,http://www.co.clarion.pa.us/government/departments/public_safety/covid-19/index.php,199,-79.341205,40.997683,-8832222.539524732,5011999.912883169
BTAMC Pediatric and Family Health Care Center,6678 Towne Center Blvd,6678,,Huntingdon,16652,Huntingdon,814-506-8490,,21935,-78.047176,40.493735,-8688171.890173001,4937952.055091373
Beaver Falls Health Mart Pharmacy,1314 7th Ave,,,Beaver Falls,15010,Beaver,724-384-0766,https://memawrx.com/beaver-falls,1399,-80.319385,40.754124,-8941113.039028896,4976142.376165675
Beaver Health Mart Pharmacy,533 Third St,,,Beaver,15009,Beaver,724-774-0919,https://www.beaverhealthmart.com,714,-80.303435,40.69575,-8939337.493150743,4967567.90787213
Bethlehem Health Bureau,10 East Church Street,,,Bethlehem,18018,Lehigh,610-865-7083,https://www.bethlehem-pa.gov/Health-Bureau/Communicable-Diseases/COVID-19,65,-75.378081,40.618623,-8391049.59389413,4956250.352088215
Black Creek Health Center,75 Pineapple Street,,,Nuremberg,18241,Schuylkill,570-704-4235,,21903,-76.1719502,40.9397102,-8479422.708994593,5003452.99513633
Blue Mountain Psychiatry,241 North 13th Street,,,Easton,18042,Northampton,610-253-2500,https://bluepsychiatry.org/,1224,-75.228352,40.692999,-8374381.837857143,4967164.00312072
Brundages Waymart Pharmacy,238 Belmont Street,,,Waymart,18472,Wayne,570-488-7979,https://www.brundagesrx.com/,41339,-75.408158,41.582512,-8394397.75021872,5098645.474101126
Butler Memorial Hospital,ONE HOSPITAL WAY,,,Butler,16001,Butler,1-877-998-2224,https://www.butlerhealthsystem.org,10944,-79.9085142,40.8668263,-8895375.11079107,4992718.373600413
CMMC-CPG Portage Rural Health Center,3670 Portage Street,Suite 105,,Portage,15946,Cambria,,https://www.conemaugh.org/,483,-78.670075,40.393747,-8757512.68966864,4923326.58400155
Central Outreach Wellness Center,127 Anderson St,Suite 101,,Pittsburgh,15212,Allegheny,412-322-4151,https://www.centraloutreach.com/location/pittsburgh-north-shore-location,919,-80.000705,40.448549,-8905637.743702894,4931339.902078411
Centre Volunteers in Medicine,2520 Green Tech Dr.,D,,State College,16803,Centre,814-231-4043,https://cvim.net/covid-vaccination/,42852,-77.918995,40.813387,-8673902.84652363,4984855.13303804
Centro De Salud Latino Americano,17th & Chew St,403,,Allentown,18104,Lehigh,610-969-3600,https://www.lvhn.org/treatments/covid-19-vaccines,14060,-75.5371705,40.6050762,-8408759.356024686,4954263.854948088
Clarion Osteopathic Hospital,1 Hospital Drive,,,Clarion,16214,Clarion,814-223-4157,https://www.butlerhealthsystem.org/CoronaVirus.aspx,11726,-79.396923,41.191878,-8838425.03891275,5040684.953990014
Clarion Pharmacy,30 Pinnacle Drive,,,Clarion,16214,Clarion,814-226-4015,https://walbergfamilypharmacies.com/clarionpharmacy,1404,-79.369825,41.199305,-8835408.503351236,5041783.701723672
